target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,52bcce61-dae8-54e1-abfd-d74207d5df1d,rejected,"The April 10, 1940 Evening Star context concerns composer Charles Martin Loeffler and a concert program, not indexed Charles F. Loeffler; it supplies no OSS identity or pre-OSS employment bridge.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,156ad51e-6597-572d-babd-693dcdfd020e,rejected,"The November 3, 1942 Wilmington Morning Star context again concerns composer Charles Martin Loeffler, not indexed Charles F. Loeffler, and supplies no matching military, archival, or employment identifier.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,24dafc9c-2437-525d-9bd6-4453db838e4a,rejected,"The September 29, 1903 Wausau Pilot item is a burglary sentencing notice for a Charles Loescher decades before OSS service and provides no corroborator connecting that person to the index row.",Before OSS batch 621 source review,batch-621-loc-v1
research_status,9b15bf46-0be5-516a-a89f-2b23e319198c,in_progress,"The sole LoC discovery candidate was rejected as an unsupported early namesake; continue staged official, CIA, employer, directory, and archival searches.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,d62b0802-8dc8-5ab5-a1fc-ba872d906927,rejected,"The March 7, 1919 Omaha Daily Bee context is a real-estate advertisement mentioning the Lockwood vicinity, not Lot D. Lockwood, and contains no person-level identity or employment evidence.",Before OSS batch 621 source review,batch-621-loc-v1
research_status,60582018-9fea-597b-8730-7d358037dbf3,in_progress,"The sole LoC discovery candidate was rejected because it referred to a place rather than the indexed person; continue staged official, CIA, employer, directory, and archival searches.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,1b7c7d86-e6b0-5631-b057-420d5d94e58c,rejected,"The May 23, 1905 Wausau Pilot context speculates about a Wisconsin student or political namesake becoming governor; it does not identify the indexed Max Loeb or establish pre-OSS employment.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,69e12856-57cc-518c-a120-a351775331ce,rejected,"The April 22, 1955 Milford Chronicle context is a postwar missile-training story about a Dr. Lockwood and supplies neither the indexed middle initial nor an OSS or pre-OSS employment bridge for William W. Lockwood.",Before OSS batch 621 source review,batch-621-loc-v1
research_status,de88f662-893b-5006-a31d-9146234ca71d,in_progress,"The sole LoC discovery candidate was rejected as an unsupported postwar namesake; continue staged official, CIA, employer, directory, and archival searches.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,e568ccba-d825-5d49-9caa-a5a343fef4e2,rejected,"The October 6, 1940 Imperial Valley Press item returned malformed official OCR context. Item metadata and the common surname London alone do not identify Frederick W. London or establish a pre-OSS affiliation.",Before OSS batch 621 source review,batch-621-loc-v1
research_status,14c01aa2-c48b-53ba-815e-bd9edcc94be2,in_progress,"The sole LoC discovery candidate lacked inspectable supporting context and was rejected; continue staged official, CIA, employer, directory, and archival searches.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,e05cec71-7fcf-5c99-a143-1d36446d2831,rejected,"The September 17, 1901 Wausau Pilot context uses London as a place name in an unrelated article and never identifies a Paul London; it supplies no person-level evidence.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,252bdc60-d27e-5992-a8c6-bc8966818f88,rejected,"The February 19, 1942 Smyrna Times OCR places Robert Carrow and Logan Ebright next to one another; it does not identify Robert C. Logan and supplies no OSS or employment evidence.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,48cb7972-df43-5deb-8fdf-85ea5e251761,rejected,"The October 14, 1940 Tacoma Times wedding context names Mrs. Robert O. Logan, not indexed Robert C. Logan; the initial conflicts and no OSS or employment bridge is present.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,be35ba63-96dd-5a71-8a99-9ae4b128715d,rejected,"The August 5, 1962 Evening Star item is a postwar book advertisement concerning Logan Pearsall Smith and other Smith family members, not indexed Robert C. Logan.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,5a7c873a-d989-57f1-9740-fcf913958f14,rejected,"The April 25, 1914 Atlanta Georgian funeral notice names Robert Brown Logan; the middle name conflicts with indexed Robert C. Logan and the notice provides no OSS bridge.",Before OSS batch 621 source review,batch-621-loc-v1
candidate_match,b12a0b8f-ed44-51f7-bd90-0b5e4a139e73,rejected,"The October 25, 1945 Sub context identifies art-program director Robert F. Logan, not indexed Robert C. Logan; the middle initial conflicts and the item is not pre-OSS employment evidence.",Before OSS batch 621 source review,batch-621-loc-v1
