target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,0a619c72-b365-5bb3-aae2-5132b2d186f9,rejected,"The 18 July 1911 Wausau Pilot OCR is a Senate roll call in which Burton and Crane are separate surnames. It does not identify Burton Crane or supply an OSS, Box 152, employment, or chronological bridge.",Codex archival review,loc-page-context-batch490-v1
candidate_match,fc4b384c-1eff-573a-810e-934cba5d86e7,rejected,"The 9 March 1922 Wausau Pilot school-play notice identifies Burton Crane as a fictional character played by Lawrence Kaas. It does not identify the indexed person.",Codex archival review,loc-page-context-batch490-v1
candidate_match,8b186bca-9296-5c3b-bcf5-9c6c236445ff,rejected,"The 26 November 1945 Wilmington Morning Star quotes a Burton Crane on Japanese literacy. The post-OSS item supplies useful Japan context but does not by itself establish the indexed identity or a pre-OSS employer.",Codex archival review,loc-page-context-batch490-v1
candidate_match,bdfbd656-8200-5f6f-b0a8-b0a1c8bb7508,rejected,"The 23 September 1940 Evening Star lists a Milton Crane among arsenal-explosion casualties. The common name and absence of an OSS, Box 152, employer, or other identity bridge prevent assignment.",Codex archival review,loc-page-context-batch490-v1
candidate_match,ea6c437f-aac5-5ffe-85ef-eb0c2af36bcd,rejected,"The 5 December 1947 Arizona Sun names Milton Crane as editor of The Roosevelt Era. The postwar item has no OSS, Box 152, or military-record bridge and cannot resolve the indexed person.",Codex archival review,loc-page-context-batch490-v1
candidate_match,009300fe-2773-5543-b495-291b72d16c40,rejected,"The 18 January 1940 Potters Herald identifies a Robert Crane as a new personnel director. The common name and absence of an initial, OSS link, Box 152 reference, or corroborating identifier prevent assignment.",Codex archival review,loc-page-context-batch490-v1
candidate_match,62ad95f6-5f14-5de4-a9c5-8d11569d4068,rejected,"The 9 May 1962 Sidney Herald OCR joins Jess Roberts and Crane from unrelated text; it does not identify a person named Robert Crane.",Codex archival review,loc-page-context-batch490-v1
candidate_match,9872b8d8-bd1f-5cde-adc5-8eb68f32310c,rejected,"The 9 November 1950 Potters Herald identifies Eljer Company vice president Robert Crane. The postwar item has no OSS, Box 152, or other identity bridge and cannot resolve the common-name entity.",Codex archival review,loc-page-context-batch490-v1
candidate_match,a508dc1f-a889-5db9-8dc2-1f2ac1973664,rejected,"The 6 July 1943 Waterbury Democrat names a Boy Scout troop leader Robert Crane. It supplies no middle name, OSS or Box 152 link, employer evidence, or corroborating identifier.",Codex archival review,loc-page-context-batch490-v1
candidate_match,e07b4a75-6ab6-5668-9579-015dd945eb83,rejected,"The 16 April 1941 Waterbury Democrat Chase Company roster names Robert P Cramer, not Robert E Cramer. The middle initial conflicts and no OSS or Box 151 bridge is present.",Codex archival review,loc-page-context-batch490-v1
