target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,93d3cb14-b60d-5cbc-a35a-de367cc0857a,rejected,"Official LoC OCR page context was reviewed. It supplies no exact Robert W Davy full-name context and no OSS, protected-identifier, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,17fadb90-7921-5dd2-b0a2-f11d4c501306,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William G Davis full-name context and no OSS, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,22ed3bf8-cb28-5ea9-a795-2e51889abd16,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William G Davis full-name context and no OSS, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,47a5753a-c642-55d9-9327-37151d73c53c,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William G Davis full-name context and no OSS, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,7260cef4-cc44-5825-8de4-ae09c220bb52,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William G Davis full-name context and no OSS, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,92c31c22-41a6-5170-ad89-133508010a04,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William G Davis full-name context and no OSS, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,4ce6c15a-78e1-5d66-b053-2e2975b9c70e,rejected,"Official LoC OCR context identifies the public member William H Davis as an attorney. It supplies no OSS, Box 172, protected-identifier, or other bridge to the indexed common-name person, so the occupation is not assigned.",Codex archival review,before-oss-batch541-v1
candidate_match,6fc98be8-efd2-5e86-9ab2-57f071e08711,rejected,"Official LoC OCR context identifies William H Davis as vice chairman of the Defense Mediation Board. It supplies no OSS, Box 172, protected-identifier, or other bridge to the indexed common-name person, so the affiliation is not assigned.",Codex archival review,before-oss-batch541-v1
candidate_match,c2bdb36a-2ee3-5fcb-923d-1e4e2be6c4e7,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William H Davis full-name context and no OSS, Box 172, protected-identifier, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,de64a4c6-8af2-50f9-8275-9b03d665953b,rejected,"Official LoC OCR context identifies a chairman named William H Davis in a wage-policy discussion. It supplies no OSS, Box 172, protected-identifier, or other bridge to the indexed common-name person, so the role is not assigned.",Codex archival review,before-oss-batch541-v1
candidate_match,fe1b4553-5790-5a4b-87bc-bf596639ad38,rejected,"Official LoC OCR context identifies National Defense Mediation Board vice chairman William H Davis. It supplies no OSS, Box 172, protected-identifier, or other bridge to the indexed common-name person, so the affiliation is not assigned.",Codex archival review,before-oss-batch541-v1
candidate_match,44a6e4f5-ae2d-5304-8be9-30475c6ec065,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William P Davis full-name context and no OSS, protected-identifier, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,5c5816ca-8edd-5af5-9062-35e1a0d2678f,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William P Davis full-name context and no OSS, protected-identifier, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,8d11cb6f-5a0d-5c9a-b559-da2bc2175545,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William P Davis full-name context and no OSS, protected-identifier, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,b12695d5-52dc-5818-b073-4618c23082a4,rejected,"Official LoC OCR page context was reviewed. It supplies no exact William P Davis full-name context and no OSS, protected-identifier, Box 172, employer, or other corroborating bridge to the indexed person.",Codex archival review,before-oss-batch541-v1
candidate_match,b7155233-867b-5344-9807-e9febff6597e,rejected,"Official LoC OCR context identifies a McAllen dairy employee named William P Davis charged with embezzlement. It supplies no OSS, protected-identifier, Box 172, or other identity bridge, so neither the person nor employer is assigned to the indexed record.",Codex archival review,before-oss-batch541-v1
