target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,8d4d3dca-f998-5cb3-82e3-e82903abe216,accepted,"The official Army entry agrees through a nonshared protected identifier and the surname; Amelie is retained as a name variant rather than silently replacing the index's Amelio. The Army occupation code is not employer evidence.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,2855ebf6-f9ec-5f02-9b19-9a339aff4bc2,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier; a contemporary Detachment 101 order independently prints the same Casimir J. Migon and grade. No civilian employer is inferred.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,a4935564-5431-5e9f-95a4-f3624356d456,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. Army codes provide identity context only and do not establish a named employer.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,7efa7624-49fb-5d26-a297-28e844497195,accepted,"The official Army entry agrees through a nonshared protected identifier and the distinctive full name apart from the final surname letter. Huber E. Miglioli is retained as a variant; no employer is inferred.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,59aae9be-704b-5632-8184-d939c3734d40,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. The protected data remain private and the Army occupation code is not converted into an employer claim.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,a1613df2-533e-5aa7-a56c-27211f9c7b82,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. This resolves the identity at high confidence but not the person's pre-OSS employment.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,555e0bd3-34cc-5505-adbe-451f8c5a0cbf,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. No named civilian employer is established by the Army record.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,b8ddca29-6a56-59d7-8498-46b5e5e7fe29,conflicting,"John L. Mihelich and Wallace J. Mihelich are separate index rows sharing a protected identifier. Preserve both entities and compare their Box 523 files before any merge or correction.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,8db6f9ee-97f2-5724-8366-15d1185c1127,accepted,"The index, official Army entry, and contemporary Detachment 101 order agree on John L. Mihelich, grade, and the privately reviewed identifier. The adjacent Wallace row remains a separate conflict requiring Box 523 review.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,c825b4ae-6982-58db-9e16-faf8fd570789,rejected,"The 1939 newspaper names a John L. Mihelich as a Cleveland regional claims-board public member, but supplies no rank, hometown, military service, or other bridge to the indexed OSS technician. It remains an unverified namesake lead.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,a1627173-a95e-529b-85a7-ebee7d80cb98,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. The Army record is identity evidence, not proof of a pre-OSS employer.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,4c2056ea-0c81-5199-b1f3-74941938bb98,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. No employer is inferred from a coded Army occupation field.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,b60b2e61-3cf2-565f-af48-32438dd4c9b1,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier; the repeated middle initial in the fixed-width Army name does not create a different person. No employer is inferred.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,afd52378-50aa-5317-b63a-99bc0b902188,conflicting,"Rafael P. Miettunen and Rafael P. Mettuhen are separate index rows on adjacent pages and different boxes that share a protected identifier. Preserve both and compare Boxes 520 and 522 before resolving the spelling or entity relationship.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,52ebd765-08b3-5111-9262-5402b1b27e74,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. The Army entry supplies no named employer.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,ec1d808f-e859-5980-afe2-55322abc66e3,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. The match supports identity only; pre-OSS employment remains unestablished.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,4db3a048-129b-506c-a6e0-bb5a052c78e1,accepted,"The index and official Army entry agree in full name and a nonshared protected identifier. Army occupation coding is not treated as a named employer.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,7eb50aa7-5c21-59ca-a87f-120aa547ae9d,conflicting,"Wallace J. Mihelich and John L. Mihelich remain separate because the shared protected identifier conflicts with their different printed names and grades. Their Box 523 files require side-by-side review.",Before OSS batch 657 identity review,batch-657-identity-v1
candidate_match,718f9b11-21b4-5675-8442-663835417d3c,conflicting,"Wallace J. Mihelich's printed protected identifier retrieves an official Army entry for John L. Mihelich, and the Detachment 101 order also names John. Wallace's identity cannot be resolved without the two Box 523 files.",Before OSS batch 657 identity review,batch-657-identity-v1
