target_type,target_id,decision,rationale,reviewer,decision_version
candidate_match,195dd9e7-1340-5bc5-a58b-22fd51e72588,rejected,"The February 7, 1940 Evening Star item identifies Dr. Charles Hallan McCarthy, a professor of American history, not indexed Charles M. McCarthy. The middle name conflicts and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,c13878e4-f30e-5c53-93d5-87e34916a348,rejected,"The July 17, 1945 Waterbury Democrat property notice names Charles J. McCarthy, not indexed Charles M. McCarthy. The middle initial conflicts and the item supplies no evidence for this index person.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,e3cc8e37-a263-5a19-98fb-4c412e375ad8,rejected,"The May 18, 1946 Waterbury Democrat context names Charles S. McCarthy in a postwar attendee list, not indexed Charles M. McCarthy. The middle initial conflicts and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,39200b3d-57d0-519f-8311-7afdc2ac0480,rejected,"The September 4, 1941 Poplar Standard item identifies Charles A. McCarthy of the British American Ambulance Corps, not indexed Charles M. McCarthy. The middle initial conflicts and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,9aaf6f1c-5a11-5f4b-9039-e8fe2d689228,rejected,"The August 23, 1934 Springfield Weekly Republican item identifies Treasurer Charles G. McCarthy, not indexed Charles M. McCarthy. The middle initial conflicts, the item is temporally remote, and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,a52679e3-361d-53d7-8eae-fa1e99eaf4c1,rejected,"The October 18, 1946 Waterbury Democrat wedding notice identifies Daniel W. McCarthy as the bride's father, not indexed Daniel L. McCarthy. The middle initial conflicts, the item is postwar, and it supplies no evidence for this index person.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,e9a73293-f6da-539e-a341-67df47d12ffd,rejected,"The November 17, 1922 Milwaukee Leader list names Daniel F. McCarthy at Deaconess Hospital, not indexed Daniel L. McCarthy. The middle initial conflicts, the item is temporally remote, and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,80df64f7-c473-5505-a28a-fd942ca55857,rejected,"The November 23, 1944 Springfield Weekly Republican obituary identifies 88-year-old businessman Daniel F. McCarthy of Bellows Falls, not indexed Daniel L. McCarthy. The middle initial conflicts and the biography supplies no corroborating index identifier.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,5d0cb990-18d8-5091-9cc2-e6bca08b36a9,rejected,"The November 20, 1938 Evening Star item identifies Police Capt. Daniel F. McCarthy, not indexed Daniel L. McCarthy. The middle initial conflicts and no corroborating identifier supports a match.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,947a11de-31fb-5674-ba0a-fb272f9e38db,rejected,"The July 11, 1943 Evening Star obituary concerns Margaret T. McCarthy and identifies her late husband as Edward J. McCarthy, not indexed Edward S. McCarthy. The middle initial conflicts and the item supplies no evidence for this index person.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,440d77f7-3953-50ea-a1e1-c97c5e0773bf,rejected,"The April 10, 1947 Montana Labor News OCR context places Karl McCarthy beside John Lindquist and never identifies John F. McCarthy. It is a postwar adjacency false positive and cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629b-loc-v1
candidate_match,809567af-28c5-51f1-a0d9-c0c665402210,rejected,"The April 9, 1941 Waterbury Democrat item identifies John T. McCarthy of Newtown, not indexed John F. McCarthy. The middle initial conflicts and it cannot resolve the indexed identity conflict.",Before OSS batch 629 source review,batch-629b-loc-v1
